Driving_License,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response,Age_group
1,1,0,0,23867.0,152.0,101,0,2
1,1,0,0,46998.0,152.0,142,0,2
1,1,1,0,33736.0,124.0,294,0,2
1,1,0,0,27304.0,152.0,79,0,1
1,1,0,0,33089.0,152.0,228,0,2
1,0,1,1,31899.0,157.0,282,1,2
1,0,1,1,30293.0,124.0,260,0,2
1,0,0,0,26187.0,152.0,49,0,2
1,0,1,1,40657.0,26.0,241,0,2
1,1,0,0,35107.0,160.0,282,0,1
1,1,1,0,30026.0,124.0,295,0,2
1,0,1,1,2630.0,154.0,194,0,2
1,0,1,0,46137.0,26.0,176,0,3
1,0,1,1,45405.0,26.0,113,0,2
1,0,1,1,22621.0,31.0,267,0,2
1,0,0,1,43299.0,160.0,161,0,1
1,0,0,1,2630.0,160.0,240,1,1
1,1,0,0,30693.0,152.0,272,0,1
1,1,1,1,40752.0,26.0,140,0,3
1,1,1,0,35758.0,26.0,256,0,4
1,0,0,1,38282.0,152.0,242,0,1
1,0,1,1,38657.0,26.0,45,0,3
1,0,1,1,29594.0,124.0,67,0,2
1,1,0,0,26301.0,160.0,134,0,2
1,0,1,1,39240.0,154.0,18,0,3
1,1,1,0,2630.0,124.0,194,0,3
1,1,1,0,54513.0,124.0,79,0,3
1,0,1,0,35540.0,26.0,58,0,3
1,1,0,0,30178.0,152.0,129,0,2
1,1,0,0,2630.0,152.0,225,0,2
1,1,0,0,23496.0,152.0,121,0,2
1,0,1,1,52688.0,124.0,98,0,3
1,1,0,0,31655.0,152.0,233,0,1
1,0,1,1,32467.0,158.0,215,1,3
1,0,0,1,38790.0,154.0,256,0,2
1,0,1,1,35420.0,8.0,219,0,3
1,1,1,1,32108.0,26.0,131,0,3
1,0,2,1,71915.0,122.0,158,0,3
1,0,0,1,28883.0,152.0,206,0,1
1,0,1,1,26726.0,31.0,132,0,3
1,0,1,1,27366.0,124.0,238,1,3
1,0,1,1,63866.0,26.0,269,0,2
1,1,0,0,43128.0,152.0,175,0,2
1,1,1,0,36247.0,152.0,123,0,2
1,0,1,1,36258.0,24.0,144,1,3
1,0,1,0,27128.0,124.0,299,0,2
1,1,0,0,28657.0,152.0,95,0,1
1,1,0,1,2630.0,157.0,123,0,1
1,0,0,1,29883.0,26.0,123,1,2
1,1,0,0,24146.0,152.0,168,0,1
1,1,0,0,32573.0,152.0,58,0,2
1,0,1,1,40381.0,152.0,131,0,3
1,0,1,1,46174.0,26.0,210,1,2
1,1,0,0,34668.0,152.0,193,0,2
1,1,1,0,38200.0,26.0,79,0,2
1,0,0,1,25141.0,152.0,215,0,1
1,1,0,0,24406.0,152.0,121,0,2
1,1,1,0,2630.0,152.0,158,0,2
1,0,1,1,43716.0,26.0,144,1,3
1,1,0,0,28680.0,152.0,189,0,2
1,1,0,0,30210.0,152.0,263,0,2
1,0,0,1,31596.0,160.0,197,0,1
1,1,0,0,50080.0,152.0,42,0,2
1,1,0,0,27824.0,160.0,114,0,2
1,1,1,0,2630.0,124.0,284,0,2
1,1,0,0,36305.0,152.0,270,0,2
1,0,1,1,40642.0,26.0,174,1,2
1,0,1,1,2630.0,154.0,149,0,2
1,1,0,0,31040.0,152.0,30,0,1
1,0,2,1,49219.0,124.0,58,1,3
1,1,1,1,46644.0,124.0,141,0,2
1,0,1,1,2630.0,156.0,289,0,2
1,0,1,1,46678.0,26.0,288,0,3
1,1,0,0,32886.0,152.0,37,0,1
1,1,0,0,35990.0,124.0,126,0,2
1,0,1,1,34594.0,124.0,240,0,2
1,0,1,1,27974.0,124.0,146,0,2
1,1,1,0,47931.0,124.0,242,0,3
1,1,0,0,23669.0,152.0,39,0,1
1,1,0,0,39593.0,152.0,77,0,1
1,0,1,1,26985.0,26.0,115,0,2
1,0,1,1,52272.0,26.0,27,0,3
1,1,0,0,27343.0,152.0,37,0,2
1,1,0,0,47301.0,152.0,96,0,2
1,0,1,1,30133.0,26.0,93,1,2
1,0,1,0,40587.0,122.0,128,0,2
1,1,1,0,46233.0,124.0,229,0,2
1,0,1,1,2630.0,156.0,63,0,2
1,1,1,0,2630.0,124.0,225,0,2
1,1,0,0,38100.0,152.0,259,0,1
1,1,0,0,27939.0,152.0,120,0,2
1,0,1,1,38252.0,163.0,59,0,3
1,1,1,0,43790.0,7.0,98,0,2
1,0,0,1,35685.0,152.0,102,0,2
1,1,1,0,35502.0,113.0,99,0,2
1,0,1,1,41651.0,124.0,27,0,2
1,0,1,1,51772.0,124.0,292,0,2
1,1,1,0,47016.0,26.0,246,0,2
1,1,0,0,37788.0,152.0,119,0,1
1,0,1,1,34152.0,122.0,227,1,2
1,1,1,0,36140.0,26.0,79,0,2
1,0,0,1,32291.0,152.0,251,0,2
1,0,1,1,30665.0,52.0,90,0,2
1,0,1,1,26625.0,124.0,87,0,2
1,1,1,0,2630.0,124.0,42,0,3
1,0,1,1,2630.0,156.0,44,1,2
1,0,2,1,46508.0,26.0,36,1,3
1,1,0,0,29168.0,152.0,154,0,1
1,0,1,1,34574.0,124.0,223,1,2
1,1,1,0,29941.0,124.0,271,0,3
1,0,1,1,32841.0,26.0,271,0,2
1,0,2,1,37488.0,26.0,222,0,3
1,1,0,0,43912.0,152.0,291,0,1
1,1,0,0,27863.0,152.0,59,0,1
1,0,1,1,39170.0,124.0,24,0,3
1,0,1,1,52341.0,26.0,193,0,3
1,1,0,0,29207.0,152.0,277,0,2
1,0,1,1,2630.0,26.0,101,0,2
1,1,0,0,29289.0,152.0,194,0,2
1,1,1,0,48719.0,26.0,189,0,3
1,1,0,0,31233.0,160.0,158,0,1
1,1,0,0,33126.0,152.0,181,0,1
1,0,1,1,58982.0,124.0,129,0,3
1,0,1,1,37690.0,26.0,186,0,2
1,0,1,0,2630.0,26.0,180,0,3
1,1,1,1,2630.0,26.0,216,0,2
1,1,0,0,43987.0,152.0,31,0,2
1,0,1,1,29244.0,152.0,268,0,2
1,1,1,0,47364.0,124.0,241,0,2
1,1,0,0,24563.0,152.0,21,0,2
1,1,1,0,31833.0,26.0,103,0,2
1,0,1,1,71595.0,122.0,105,1,3
1,0,1,1,39732.0,124.0,268,1,2
1,0,1,1,35592.0,124.0,249,0,2
1,0,0,1,2630.0,152.0,119,0,1
1,1,0,0,24409.0,152.0,122,0,1
1,1,0,0,28196.0,152.0,290,0,1
1,0,2,1,50474.0,26.0,242,0,2
1,1,0,0,28456.0,26.0,210,0,2
1,1,1,0,33815.0,152.0,140,0,2
1,0,1,1,42170.0,124.0,236,1,2
1,0,0,1,31404.0,152.0,282,0,1
1,0,1,1,43946.0,26.0,195,0,2
1,0,0,1,27789.0,152.0,65,1,1
1,1,1,0,2630.0,122.0,272,0,2
1,0,1,1,41180.0,26.0,158,1,2
1,1,1,0,30117.0,124.0,74,0,2
1,1,1,0,31561.0,124.0,107,0,2
1,1,0,0,28390.0,152.0,56,0,1
1,0,2,1,46475.0,25.0,28,0,3
1,0,1,1,2630.0,152.0,283,0,3
1,0,1,1,37748.0,26.0,84,0,3
1,1,0,0,37118.0,152.0,168,0,2
1,0,1,1,50819.0,124.0,103,0,2
1,0,1,1,61617.0,26.0,146,0,3
1,0,0,1,35149.0,124.0,80,1,2
1,1,1,0,2630.0,124.0,119,0,3
1,0,1,1,2630.0,26.0,261,0,2
1,0,1,1,36672.0,124.0,20,1,2
1,1,0,0,36170.0,152.0,158,0,1
1,1,1,0,27195.0,152.0,111,0,2
1,0,1,1,2630.0,154.0,147,1,3
1,1,1,0,32165.0,124.0,225,0,3
1,0,0,1,27226.0,160.0,256,0,1
1,1,0,0,28698.0,152.0,272,0,1
1,0,1,0,2630.0,154.0,129,0,2
1,0,0,1,28251.0,152.0,131,1,2
1,0,1,1,44951.0,122.0,168,0,2
1,0,1,1,43957.0,124.0,41,0,2
1,1,1,1,2630.0,157.0,249,0,3
1,0,1,0,2630.0,26.0,170,0,3
1,0,1,1,37373.0,124.0,278,0,2
1,0,1,1,2630.0,26.0,131,0,3
1,1,0,0,28412.0,152.0,217,0,1
1,0,1,1,45984.0,124.0,114,1,2
1,1,0,0,46937.0,152.0,101,0,2
1,0,0,1,23260.0,152.0,241,1,2
1,1,1,1,32175.0,26.0,42,0,2
1,1,1,0,43002.0,26.0,73,0,2
1,0,1,1,55764.0,26.0,104,0,3
1,0,1,1,27121.0,163.0,298,0,3
1,1,0,0,38378.0,152.0,199,0,1
1,1,0,0,47380.0,152.0,98,0,1
1,0,0,0,27265.0,152.0,144,0,2
1,0,1,1,2630.0,163.0,160,0,3
1,0,2,1,33148.0,124.0,59,1,2
1,0,1,1,29997.0,26.0,27,0,3
1,1,1,0,2630.0,25.0,191,0,3
1,0,1,1,48707.0,23.0,92,0,2
1,0,1,1,38987.0,124.0,198,1,3
1,0,1,1,46692.0,26.0,56,0,2
1,0,1,1,2630.0,3.0,197,0,3
1,1,0,0,34339.0,152.0,262,0,1
1,0,1,1,2630.0,156.0,214,1,2
1,0,1,1,29680.0,157.0,262,0,1
1,0,1,1,33270.0,124.0,60,0,3
1,1,0,0,32065.0,152.0,215,0,1
1,0,1,0,2630.0,124.0,207,0,2
1,1,0,0,32243.0,152.0,166,0,2
1,1,0,0,51558.0,152.0,268,0,2
1,0,1,1,34404.0,26.0,108,1,2
1,1,0,0,28705.0,152.0,105,0,1
1,0,1,1,36805.0,124.0,73,0,3
1,0,0,0,39475.0,152.0,274,0,1
1,1,0,0,45476.0,151.0,116,0,2
1,0,0,1,32886.0,160.0,245,0,1
1,0,0,1,32604.0,152.0,115,0,2
1,0,0,0,2630.0,152.0,165,0,2
1,0,1,0,26690.0,21.0,74,0,2
1,0,1,1,30022.0,156.0,185,0,1
1,0,1,1,2630.0,14.0,163,0,3
1,0,1,1,45290.0,26.0,132,0,2
1,0,1,1,29468.0,26.0,222,0,2
1,1,1,0,35444.0,124.0,199,0,2
1,0,1,1,2630.0,26.0,66,0,2
1,1,1,0,2630.0,26.0,118,0,2
1,0,1,0,25416.0,124.0,142,0,2
1,0,1,1,36397.0,26.0,288,0,2
1,1,0,0,29772.0,152.0,194,0,2
1,1,0,0,24331.0,152.0,158,0,2
1,1,0,0,2630.0,1.0,83,0,2
1,1,0,0,39573.0,152.0,142,0,1
1,1,1,0,34391.0,122.0,96,0,3
1,0,1,1,27155.0,26.0,288,1,2
1,1,1,0,41921.0,14.0,208,0,3
1,0,0,1,28084.0,160.0,288,0,1
1,0,1,1,62625.0,26.0,158,1,2
1,0,0,1,24535.0,152.0,103,1,2
1,0,2,1,49316.0,124.0,27,0,3
1,1,0,0,22686.0,152.0,166,0,1
1,0,1,1,43466.0,26.0,202,1,2
1,1,0,0,29998.0,152.0,158,0,2
1,1,0,0,40771.0,152.0,283,0,1
1,1,0,0,24894.0,152.0,118,0,2
1,1,0,0,33243.0,152.0,40,0,2
1,1,0,0,43449.0,124.0,131,0,2
1,1,0,0,25229.0,152.0,103,0,2
1,1,0,0,34209.0,152.0,263,0,1
1,1,1,0,31410.0,124.0,118,0,3
1,1,0,0,27534.0,160.0,249,0,1
1,0,1,1,30401.0,26.0,282,0,2
1,0,2,1,62223.0,26.0,114,1,3
1,0,0,1,34221.0,152.0,130,0,2
1,0,0,0,29291.0,152.0,57,0,2
1,0,0,1,43764.0,124.0,83,0,1
1,0,1,1,49189.0,26.0,198,0,2
1,1,1,0,45456.0,11.0,111,0,3
1,1,0,0,32347.0,152.0,211,0,1
1,0,1,1,36591.0,124.0,212,1,2
1,0,1,1,2630.0,156.0,139,0,2
1,0,1,1,44774.0,26.0,188,1,2
1,0,1,1,31851.0,26.0,256,0,1
1,1,1,0,34913.0,124.0,91,0,3
1,0,1,1,2630.0,26.0,273,0,2
1,0,0,1,51974.0,152.0,263,1,2
1,1,0,0,32823.0,152.0,191,0,2
1,1,1,0,2630.0,7.0,296,0,2
1,1,1,0,48503.0,26.0,186,0,3
0,0,1,1,30174.0,124.0,201,0,3
1,0,0,1,34163.0,152.0,253,0,2
1,0,1,1,35195.0,124.0,96,0,2
1,0,1,1,50661.0,122.0,150,0,2
1,1,0,0,24133.0,152.0,197,0,1
1,1,0,0,2630.0,152.0,150,0,2
1,1,0,0,2630.0,160.0,247,0,1
1,0,1,1,29192.0,23.0,65,0,2
1,1,0,0,37146.0,152.0,241,0,2
1,1,0,0,29330.0,152.0,191,0,2
1,0,2,1,49418.0,3.0,223,1,4
1,1,1,0,43972.0,152.0,131,0,3
1,0,1,1,2630.0,157.0,212,1,2
1,0,0,1,29148.0,152.0,68,0,2
1,0,1,1,47293.0,12.0,79,0,3
1,0,1,1,28516.0,26.0,74,0,4
1,1,1,0,42933.0,122.0,96,0,3
1,0,1,1,44908.0,26.0,293,0,2
1,1,0,0,30679.0,160.0,58,0,1
1,1,1,0,38100.0,26.0,131,0,2
1,0,1,1,31885.0,124.0,268,0,2
1,1,0,0,27911.0,152.0,116,0,2
1,0,1,1,53540.0,124.0,160,0,3
1,0,1,1,57326.0,26.0,242,0,3
1,1,0,0,28137.0,152.0,27,0,1
1,0,1,1,42611.0,147.0,187,0,3
1,0,2,1,2630.0,158.0,228,0,3
1,0,0,1,38452.0,152.0,128,0,2
1,0,0,1,54648.0,152.0,165,0,1
1,1,0,0,28345.0,152.0,27,0,1
1,0,0,1,40357.0,154.0,24,0,1
1,1,1,0,39008.0,124.0,94,0,2
1,1,0,0,35417.0,152.0,242,0,1
1,0,1,1,34198.0,124.0,56,0,2
1,1,0,0,30916.0,152.0,176,0,2
1,1,0,0,30076.0,152.0,240,0,1
1,0,1,1,2630.0,122.0,73,0,3
1,1,1,0,29200.0,30.0,272,0,3
1,0,1,1,2630.0,157.0,275,0,3
1,1,0,1,29081.0,152.0,164,0,1
1,0,0,1,28766.0,152.0,191,1,1
1,0,1,1,2630.0,55.0,216,0,3
1,1,0,0,23061.0,152.0,99,0,2
1,1,0,0,36385.0,152.0,160,0,2
1,0,1,1,32491.0,26.0,132,1,2
1,0,1,1,2630.0,125.0,175,0,2
1,1,0,0,2630.0,157.0,286,0,1
1,0,1,0,24863.0,26.0,169,0,3
1,0,1,1,2630.0,156.0,225,0,2
1,0,0,1,27399.0,152.0,199,0,1
1,0,1,1,30776.0,124.0,37,1,2
1,0,1,1,48966.0,124.0,191,0,2
1,1,0,0,22447.0,152.0,179,0,2
1,1,0,0,2630.0,152.0,168,0,2
1,1,0,0,26071.0,152.0,80,0,2
1,0,1,1,45960.0,26.0,67,0,2
1,0,1,1,2630.0,124.0,257,0,3
1,1,1,0,32586.0,152.0,25,0,3
1,1,0,0,30397.0,152.0,271,0,2
1,0,1,1,53736.0,124.0,108,0,2
1,1,0,0,24652.0,152.0,111,0,1
1,1,0,0,27408.0,152.0,269,0,2
1,1,1,1,41487.0,124.0,262,0,2
1,1,0,0,55635.0,160.0,141,0,1
1,1,0,0,27970.0,124.0,272,0,2
1,1,0,0,38487.0,152.0,107,0,2
1,1,0,0,2630.0,152.0,65,0,2
1,1,0,0,30409.0,152.0,233,0,2
1,0,1,1,30308.0,124.0,90,0,2
1,0,0,1,31851.0,152.0,257,0,2
1,1,0,0,29767.0,152.0,281,0,2
1,1,1,0,2630.0,156.0,22,0,3
1,1,0,0,34120.0,152.0,137,0,1
1,0,1,1,71610.0,25.0,122,0,2
1,0,1,1,45250.0,31.0,292,0,2
1,0,1,1,44454.0,152.0,242,0,3
1,1,1,0,50903.0,124.0,203,0,3
1,0,1,1,31763.0,124.0,129,0,2
1,1,0,0,24506.0,152.0,119,0,2
1,0,0,1,62356.0,152.0,248,0,1
1,0,1,1,35251.0,26.0,282,0,3
1,0,0,0,26928.0,152.0,84,0,1
1,1,0,0,29211.0,152.0,272,0,1
1,1,0,0,28126.0,152.0,293,0,1
1,0,1,1,28292.0,26.0,276,0,2
1,0,1,1,51628.0,125.0,111,0,3
1,0,1,1,29478.0,26.0,183,0,3
1,0,1,1,28552.0,26.0,212,0,3
1,0,1,1,37243.0,11.0,29,0,2
1,0,0,1,29165.0,152.0,84,0,2
1,1,0,0,27098.0,152.0,254,0,1
1,1,1,0,32189.0,26.0,171,0,2
1,1,0,0,36233.0,152.0,65,0,2
1,1,0,0,35260.0,151.0,211,0,1
1,1,0,0,30223.0,152.0,36,0,1
1,1,1,0,31603.0,26.0,144,0,2
1,0,1,1,30390.0,24.0,204,0,3
1,0,1,1,38518.0,124.0,42,0,2
1,0,0,0,37490.0,151.0,164,0,1
1,1,0,0,57832.0,152.0,219,0,1
1,0,1,0,51568.0,26.0,115,0,3
1,0,2,1,37522.0,124.0,289,0,2
1,1,1,0,32419.0,13.0,200,0,2
1,1,0,0,20272.0,152.0,195,0,1
1,0,1,1,28416.0,26.0,109,1,3
1,1,1,0,2630.0,9.0,270,0,3
1,1,1,0,2630.0,152.0,219,0,2
1,1,0,0,45300.0,152.0,22,0,1
1,0,1,1,40593.0,26.0,36,0,3
1,0,0,1,43801.0,152.0,212,0,1
1,0,0,0,2630.0,152.0,292,0,2
1,0,1,0,2630.0,156.0,219,0,2
1,1,0,0,24138.0,152.0,194,0,1
1,0,1,1,2630.0,156.0,32,1,2
1,1,0,0,27756.0,152.0,152,0,2
1,1,0,0,40978.0,152.0,237,0,1
1,0,1,1,40960.0,124.0,148,0,3
1,0,1,1,38984.0,52.0,274,1,2
1,0,1,1,51156.0,124.0,166,1,2
1,0,0,1,22272.0,160.0,197,0,1
1,1,0,0,27240.0,152.0,14,0,2
1,0,1,1,43235.0,124.0,130,0,2
1,1,1,0,44919.0,26.0,24,0,2
1,0,1,1,37005.0,26.0,76,0,3
1,1,1,1,2630.0,156.0,106,0,2
1,1,0,0,50788.0,152.0,131,0,1
1,1,1,0,46271.0,26.0,256,0,2
1,0,0,1,36018.0,152.0,274,0,1
1,1,1,0,2630.0,26.0,237,0,3
1,1,1,0,24806.0,160.0,172,0,3
1,0,1,1,34947.0,124.0,186,1,2
1,1,1,0,34092.0,26.0,77,0,2
1,1,1,0,26199.0,26.0,110,0,3
1,0,1,1,35161.0,26.0,114,0,2
1,1,0,0,35116.0,152.0,225,0,2
1,1,1,0,2630.0,26.0,255,0,3
1,0,2,1,56667.0,122.0,211,0,3
1,0,0,1,2630.0,152.0,48,1,1
1,0,1,1,2630.0,156.0,263,0,2
1,0,1,0,35266.0,124.0,108,0,2
1,0,1,1,29200.0,26.0,131,1,2
1,1,0,0,36345.0,152.0,17,0,1
1,1,0,0,31871.0,152.0,130,0,2
1,0,1,1,70857.0,24.0,150,0,3
1,0,0,1,2630.0,152.0,53,0,2
1,1,0,0,39235.0,152.0,226,0,1
1,0,0,1,34695.0,152.0,197,0,1
1,1,0,0,27416.0,152.0,103,0,1
1,0,1,1,2630.0,26.0,263,1,2
1,0,2,1,37514.0,26.0,226,1,2
1,0,0,1,35805.0,154.0,46,0,2
1,1,0,0,29593.0,152.0,197,0,1
1,1,1,0,2630.0,26.0,142,0,2
1,1,0,0,2630.0,152.0,66,0,2
1,0,1,1,2630.0,156.0,113,0,1
1,0,0,1,31660.0,152.0,280,0,1
1,1,1,0,39103.0,124.0,136,0,2
1,1,1,0,43829.0,25.0,162,0,2
1,0,0,1,2630.0,163.0,193,0,1
1,1,0,0,35247.0,152.0,126,0,1
1,0,0,1,26227.0,152.0,282,0,2
1,1,1,0,41005.0,152.0,187,0,3
1,1,1,0,23201.0,26.0,126,0,2
1,0,0,1,29600.0,152.0,49,0,1
1,1,1,0,24237.0,26.0,216,0,3
1,1,0,0,51559.0,152.0,223,0,1
1,1,0,0,52366.0,152.0,130,0,2
1,0,1,1,25760.0,124.0,267,0,2
1,1,1,0,47711.0,152.0,247,0,2
1,1,1,0,2630.0,124.0,57,0,2
1,1,1,0,24192.0,122.0,152,0,2
1,0,0,1,34472.0,152.0,190,0,1
1,1,0,0,30455.0,152.0,273,0,1
1,1,0,0,36044.0,160.0,237,0,1
1,1,1,0,27781.0,26.0,66,0,3
1,0,1,1,27888.0,124.0,101,0,2
1,0,0,0,2630.0,152.0,248,0,2
1,0,0,1,61375.0,152.0,164,0,1
1,0,1,1,59154.0,26.0,218,0,3
1,1,1,0,2630.0,133.0,110,0,3
1,1,0,0,29592.0,152.0,55,0,1
1,0,1,1,43887.0,26.0,251,0,3
1,1,0,0,23130.0,152.0,247,0,1
1,1,0,0,38388.0,152.0,285,0,1
1,0,0,0,39087.0,152.0,137,0,1
1,0,1,1,2630.0,26.0,58,1,2
1,0,1,1,2630.0,124.0,63,0,3
1,0,1,1,46969.0,124.0,128,1,3
1,0,0,1,31950.0,152.0,284,0,2
1,0,1,1,32753.0,124.0,211,1,3
1,0,0,1,26672.0,152.0,158,0,2
1,0,1,1,51430.0,26.0,174,1,2
1,0,2,1,39551.0,124.0,103,0,2
1,1,0,0,34141.0,124.0,160,0,2
1,0,1,1,27244.0,124.0,281,1,2
1,1,0,0,39095.0,152.0,188,0,2
1,0,1,1,55391.0,26.0,216,1,3
1,1,1,0,2630.0,124.0,221,0,2
1,0,1,1,33621.0,122.0,140,1,2
1,0,2,1,25800.0,26.0,282,1,2
1,0,1,1,24110.0,26.0,227,1,2
1,1,0,0,37222.0,152.0,70,0,1
1,1,0,0,37108.0,152.0,147,0,1
1,0,1,1,32666.0,154.0,242,1,3
1,0,1,1,63322.0,124.0,56,0,2
1,1,0,0,31882.0,152.0,231,0,1
1,0,1,1,41073.0,26.0,130,1,2
1,0,1,1,24287.0,124.0,242,0,2
1,0,1,1,45438.0,124.0,252,0,3
1,1,0,0,28241.0,152.0,237,0,1
1,0,1,1,34015.0,16.0,263,0,3
1,0,1,1,30697.0,154.0,130,0,2
1,0,1,0,33548.0,124.0,249,0,2
1,1,0,0,38120.0,152.0,205,0,1
1,1,0,0,23074.0,152.0,105,0,2
1,1,0,0,27328.0,152.0,40,0,2
1,0,1,1,28108.0,29.0,34,1,2
1,0,1,1,38418.0,124.0,70,0,2
1,1,1,0,28962.0,26.0,208,0,3
1,0,1,1,2630.0,157.0,183,1,2
1,1,1,0,37366.0,26.0,182,0,3
1,0,1,1,46843.0,124.0,105,0,3
1,1,0,0,2630.0,152.0,298,0,2
1,0,0,1,36316.0,152.0,254,1,2
1,0,0,1,36117.0,152.0,118,0,2
1,0,1,1,34438.0,26.0,34,0,3
1,1,1,0,35651.0,26.0,254,0,2
1,0,1,1,24857.0,24.0,11,0,2
1,1,0,0,39257.0,152.0,163,0,2
1,0,1,0,34197.0,152.0,135,0,3
1,0,1,1,67946.0,124.0,158,0,2
1,0,2,1,2630.0,124.0,171,0,3
1,1,1,0,34102.0,26.0,131,0,3
1,0,1,1,25954.0,124.0,168,0,2
1,1,0,0,28017.0,152.0,260,0,1
1,1,0,0,28491.0,26.0,211,0,2
1,1,0,0,28205.0,152.0,36,0,1
1,0,1,1,29505.0,26.0,146,1,2
1,1,0,0,2630.0,151.0,191,0,1
1,1,1,0,32764.0,152.0,221,0,2
1,1,1,1,2630.0,124.0,272,0,3
1,0,1,1,29678.0,124.0,269,0,3
1,0,1,1,24982.0,124.0,261,0,2
1,0,0,0,2630.0,152.0,156,1,1
1,1,0,0,30862.0,152.0,222,0,2
1,0,1,1,2630.0,155.0,219,0,3
1,0,1,1,29056.0,124.0,208,1,2
1,1,0,0,30163.0,152.0,228,0,2
1,1,0,0,30866.0,152.0,190,0,2
1,0,0,1,28698.0,160.0,93,0,1
1,1,1,0,43134.0,124.0,141,0,3
1,1,1,0,72535.0,124.0,256,0,3
1,1,0,0,34173.0,160.0,278,0,2
1,0,1,1,2630.0,26.0,152,0,2
1,0,2,1,29957.0,124.0,109,0,2
1,0,1,1,59875.0,26.0,114,0,3
1,0,1,1,52710.0,26.0,97,0,3
1,0,1,1,22288.0,124.0,245,0,2
1,0,1,1,2630.0,26.0,171,0,2
1,0,1,1,31535.0,26.0,26,1,3
1,0,1,1,2630.0,124.0,11,0,3
1,0,1,1,48741.0,122.0,76,0,3
1,1,0,0,30911.0,26.0,133,0,1
1,1,1,0,2630.0,124.0,246,0,3
1,0,0,0,2630.0,160.0,212,0,1
1,1,0,0,50819.0,26.0,251,0,1
1,1,0,0,2630.0,160.0,189,0,2
1,0,0,0,31044.0,152.0,60,0,2
1,1,1,0,37234.0,124.0,286,0,2
1,0,1,1,27931.0,26.0,41,0,3
1,1,0,0,32398.0,152.0,188,0,2
1,0,1,1,2630.0,124.0,63,0,2
1,1,0,0,27983.0,152.0,185,0,2
1,0,1,1,37492.0,26.0,223,1,2
1,0,0,0,29455.0,152.0,85,0,1
1,0,1,1,30608.0,124.0,25,0,2
1,0,1,1,2630.0,124.0,63,0,2
1,1,1,0,38252.0,120.0,270,0,2
1,0,1,1,40512.0,26.0,199,1,3
1,1,0,0,53929.0,152.0,106,0,2
1,1,0,0,37570.0,152.0,270,0,1
1,0,1,1,28242.0,152.0,250,0,2
1,0,1,1,2630.0,124.0,249,0,2
1,1,0,0,24126.0,152.0,196,0,1
1,0,1,1,34832.0,124.0,145,0,2
1,1,1,0,34307.0,26.0,219,0,3
1,0,1,1,46553.0,124.0,278,0,3
1,0,1,1,39265.0,124.0,118,1,2
1,1,0,0,2630.0,152.0,257,0,2
1,0,1,1,63365.0,124.0,105,1,3
1,1,0,0,27538.0,152.0,254,0,1
1,1,1,0,2630.0,26.0,113,0,4
1,1,0,0,30125.0,152.0,15,0,1
1,0,0,1,35883.0,152.0,110,1,1
1,0,1,1,49061.0,124.0,191,0,2
1,1,0,0,53362.0,152.0,57,0,1
1,1,0,0,20276.0,152.0,56,0,1
1,0,1,1,43299.0,26.0,28,0,3
1,1,0,0,48886.0,152.0,116,0,2
