id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
11455356,Female,23,1,37.0,1,< 1 Year,No,37751.0,152.0,223,0
2249186,Female,22,1,46.0,1,< 1 Year,No,33644.0,152.0,228,0
5179505,Female,51,1,28.0,0,1-2 Year,Yes,31656.0,26.0,284,0
9859889,Female,25,1,29.0,1,< 1 Year,No,28015.0,152.0,94,0
49477,Female,21,1,50.0,0,< 1 Year,Yes,27107.0,160.0,246,0
186894,Male,53,1,45.0,0,1-2 Year,Yes,2630.0,156.0,40,0
1054152,Female,28,1,41.0,1,< 1 Year,No,58521.0,152.0,172,0
8267354,Male,41,1,28.0,1,1-2 Year,No,41142.0,124.0,285,0
832950,Male,24,1,28.0,1,< 1 Year,No,29601.0,152.0,260,0
2634407,Female,42,1,28.0,0,1-2 Year,Yes,47375.0,55.0,110,1
10288614,Female,26,1,2.0,1,< 1 Year,No,32907.0,152.0,147,0
9873645,Male,72,1,1.0,1,1-2 Year,No,2630.0,124.0,236,0
9731208,Male,48,1,41.0,0,1-2 Year,Yes,39115.0,124.0,30,0
3199820,Male,23,1,30.0,1,< 1 Year,No,61270.0,152.0,145,0
8459782,Female,45,1,28.0,0,1-2 Year,Yes,32307.0,122.0,212,0
3368879,Male,38,1,28.0,1,1-2 Year,Yes,28775.0,35.0,228,0
9857260,Male,49,1,33.0,0,1-2 Year,Yes,33292.0,124.0,187,0
7556953,Male,26,1,35.0,1,< 1 Year,No,23867.0,152.0,101,0
10970363,Male,27,1,17.0,1,< 1 Year,No,46998.0,152.0,142,0
2823887,Female,46,1,3.0,1,1-2 Year,No,33736.0,124.0,294,0
5962516,Female,23,1,6.0,1,< 1 Year,No,27304.0,152.0,79,0
9078462,Female,27,1,36.0,1,< 1 Year,No,33089.0,152.0,228,0
7090686,Male,45,1,28.0,0,1-2 Year,Yes,31899.0,157.0,282,1
9137930,Female,38,1,46.0,0,1-2 Year,Yes,30293.0,124.0,260,0
161581,Female,25,1,2.0,0,< 1 Year,No,26187.0,152.0,49,0
3142393,Male,45,1,28.0,0,1-2 Year,Yes,40657.0,26.0,241,0
5443421,Male,21,1,46.0,1,< 1 Year,No,35107.0,160.0,282,0
8453156,Male,48,1,43.0,1,1-2 Year,No,30026.0,124.0,295,0
7040173,Male,48,1,29.0,0,1-2 Year,Yes,2630.0,154.0,194,0
7106316,Male,74,1,28.0,0,1-2 Year,No,46137.0,26.0,176,0
6577709,Female,49,1,28.0,0,1-2 Year,Yes,45405.0,26.0,113,0
541930,Male,39,1,48.0,0,1-2 Year,Yes,22621.0,31.0,267,0
267800,Male,20,1,37.0,0,< 1 Year,Yes,43299.0,160.0,161,0
7605698,Female,23,1,18.0,0,< 1 Year,Yes,2630.0,160.0,240,1
3797334,Female,24,1,18.0,1,< 1 Year,No,30693.0,152.0,272,0
9483637,Female,53,1,28.0,1,1-2 Year,Yes,40752.0,26.0,140,0
10841475,Male,77,1,18.0,1,1-2 Year,No,35758.0,26.0,256,0
3641518,Male,21,1,28.0,0,< 1 Year,Yes,38282.0,152.0,242,0
8713176,Male,51,1,33.0,0,1-2 Year,Yes,38657.0,26.0,45,0
10693513,Female,40,1,15.0,0,1-2 Year,Yes,29594.0,124.0,67,0
4970974,Female,30,1,41.0,1,< 1 Year,No,26301.0,160.0,134,0
3216712,Female,57,1,28.0,0,1-2 Year,Yes,39240.0,154.0,18,0
4234526,Female,61,1,4.0,1,1-2 Year,No,2630.0,124.0,194,0
4502481,Male,50,1,28.0,1,1-2 Year,No,54513.0,124.0,79,0
8927257,Male,53,1,29.0,0,1-2 Year,No,35540.0,26.0,58,0
10498604,Female,25,1,41.0,1,< 1 Year,No,30178.0,152.0,129,0
6260138,Female,31,1,23.0,1,< 1 Year,No,2630.0,152.0,225,0
8196482,Male,25,1,6.0,1,< 1 Year,No,23496.0,152.0,121,0
9478659,Female,69,1,28.0,0,1-2 Year,Yes,52688.0,124.0,98,0
1979324,Female,22,1,8.0,1,< 1 Year,No,31655.0,152.0,233,0
10861970,Male,53,1,28.0,0,1-2 Year,Yes,32467.0,158.0,215,1
417596,Female,27,1,8.0,0,< 1 Year,Yes,38790.0,154.0,256,0
9018944,Female,56,1,50.0,0,1-2 Year,Yes,35420.0,8.0,219,0
8784030,Male,52,1,8.0,1,1-2 Year,Yes,32108.0,26.0,131,0
3103669,Male,63,1,28.0,0,> 2 Years,Yes,71915.0,122.0,158,0
9489454,Female,22,1,15.0,0,< 1 Year,Yes,28883.0,152.0,206,0
11398677,Male,53,1,18.0,0,1-2 Year,Yes,26726.0,31.0,132,0
5339385,Female,60,1,29.0,0,1-2 Year,Yes,27366.0,124.0,238,1
5271656,Male,34,1,5.0,0,1-2 Year,Yes,63866.0,26.0,269,0
9388254,Female,32,1,9.0,1,< 1 Year,No,43128.0,152.0,175,0
8845124,Female,34,1,15.0,1,1-2 Year,No,36247.0,152.0,123,0
9629700,Female,50,1,11.0,0,1-2 Year,Yes,36258.0,24.0,144,1
11063185,Female,39,1,8.0,0,1-2 Year,No,27128.0,124.0,299,0
5748755,Female,23,1,36.0,1,< 1 Year,No,28657.0,152.0,95,0
8280845,Female,20,1,8.0,1,< 1 Year,Yes,2630.0,157.0,123,0
9394851,Male,33,1,28.0,0,< 1 Year,Yes,29883.0,26.0,123,1
8887618,Female,23,1,27.0,1,< 1 Year,No,24146.0,152.0,168,0
8288705,Female,26,1,50.0,1,< 1 Year,No,32573.0,152.0,58,0
6390483,Male,52,1,36.0,0,1-2 Year,Yes,40381.0,152.0,131,0
9946208,Male,46,1,28.0,0,1-2 Year,Yes,46174.0,26.0,210,1
6471572,Female,28,1,29.0,1,< 1 Year,No,34668.0,152.0,193,0
8473904,Female,46,1,28.0,1,1-2 Year,No,38200.0,26.0,79,0
10541280,Male,24,1,19.0,0,< 1 Year,Yes,25141.0,152.0,215,0
1843301,Female,31,1,41.0,1,< 1 Year,No,24406.0,152.0,121,0
9667719,Male,36,1,10.0,1,1-2 Year,No,2630.0,152.0,158,0
6387723,Male,57,1,29.0,0,1-2 Year,Yes,43716.0,26.0,144,1
3637092,Male,29,1,14.0,1,< 1 Year,No,28680.0,152.0,189,0
2841567,Male,25,1,29.0,1,< 1 Year,No,30210.0,152.0,263,0
6090870,Male,20,1,30.0,0,< 1 Year,Yes,31596.0,160.0,197,0
6131760,Male,30,1,4.0,1,< 1 Year,No,50080.0,152.0,42,0
5926687,Male,26,1,30.0,1,< 1 Year,No,27824.0,160.0,114,0
9080455,Male,40,1,3.0,1,1-2 Year,No,2630.0,124.0,284,0
5338717,Male,30,1,36.0,1,< 1 Year,No,36305.0,152.0,270,0
9162530,Female,42,1,28.0,0,1-2 Year,Yes,40642.0,26.0,174,1
7413886,Female,49,1,28.0,0,1-2 Year,Yes,2630.0,154.0,149,0
432965,Male,24,1,14.0,1,< 1 Year,No,31040.0,152.0,30,0
182386,Male,62,1,35.0,0,> 2 Years,Yes,49219.0,124.0,58,1
4920996,Male,41,1,11.0,1,1-2 Year,Yes,46644.0,124.0,141,0
2733573,Male,46,1,18.0,0,1-2 Year,Yes,2630.0,156.0,289,0
7897324,Male,62,1,28.0,0,1-2 Year,Yes,46678.0,26.0,288,0
2609607,Female,24,1,6.0,1,< 1 Year,No,32886.0,152.0,37,0
10514676,Male,29,1,28.0,1,< 1 Year,No,35990.0,124.0,126,0
10416805,Female,49,1,40.0,0,1-2 Year,Yes,34594.0,124.0,240,0
4398810,Male,43,1,46.0,0,1-2 Year,Yes,27974.0,124.0,146,0
4722080,Male,55,1,28.0,1,1-2 Year,No,47931.0,124.0,242,0
10743412,Female,24,1,10.0,1,< 1 Year,No,23669.0,152.0,39,0
2171187,Female,24,1,6.0,1,< 1 Year,No,39593.0,152.0,77,0
1967570,Female,46,1,11.0,0,1-2 Year,Yes,26985.0,26.0,115,0
7256346,Female,52,1,28.0,0,1-2 Year,Yes,52272.0,26.0,27,0
4612392,Female,27,1,28.0,1,< 1 Year,No,27343.0,152.0,37,0
7158863,Female,27,1,11.0,1,< 1 Year,No,47301.0,152.0,96,0
11379798,Male,46,1,28.0,0,1-2 Year,Yes,30133.0,26.0,93,1
4494196,Male,39,1,28.0,0,1-2 Year,No,40587.0,122.0,128,0
2776053,Male,34,1,28.0,1,1-2 Year,No,46233.0,124.0,229,0
6598618,Male,43,1,8.0,0,1-2 Year,Yes,2630.0,156.0,63,0
10989832,Male,35,1,30.0,1,1-2 Year,No,2630.0,124.0,225,0
4571922,Female,24,1,33.0,1,< 1 Year,No,38100.0,152.0,259,0
1449067,Female,26,1,44.0,1,< 1 Year,No,27939.0,152.0,120,0
7715757,Male,50,1,28.0,0,1-2 Year,Yes,38252.0,163.0,59,0
9105252,Male,41,1,8.0,1,1-2 Year,No,43790.0,7.0,98,0
7842246,Female,27,1,27.0,0,< 1 Year,Yes,35685.0,152.0,102,0
2265271,Female,46,1,47.0,1,1-2 Year,No,35502.0,113.0,99,0
3139940,Male,38,1,8.0,0,1-2 Year,Yes,41651.0,124.0,27,0
2221917,Female,44,1,28.0,0,1-2 Year,Yes,51772.0,124.0,292,0
7465647,Female,47,1,28.0,1,1-2 Year,No,47016.0,26.0,246,0
11471270,Female,23,1,9.0,1,< 1 Year,No,37788.0,152.0,119,0
4305897,Female,42,1,28.0,0,1-2 Year,Yes,34152.0,122.0,227,1
8119921,Female,43,1,17.0,1,1-2 Year,No,36140.0,26.0,79,0
9375630,Male,31,1,11.0,0,< 1 Year,Yes,32291.0,152.0,251,0
5782151,Male,47,1,28.0,0,1-2 Year,Yes,30665.0,52.0,90,0
9164970,Male,35,1,30.0,0,1-2 Year,Yes,26625.0,124.0,87,0
11503955,Male,57,1,43.0,1,1-2 Year,No,2630.0,124.0,42,0
11484357,Male,25,1,23.0,0,1-2 Year,Yes,2630.0,156.0,44,1
1930292,Female,55,1,8.0,0,> 2 Years,Yes,46508.0,26.0,36,1
5991206,Male,24,1,18.0,1,< 1 Year,No,29168.0,152.0,154,0
7152487,Male,40,1,28.0,0,1-2 Year,Yes,34574.0,124.0,223,1
7967323,Male,63,1,8.0,1,1-2 Year,No,29941.0,124.0,271,0
386938,Female,47,1,41.0,0,1-2 Year,Yes,32841.0,26.0,271,0
7986337,Female,53,1,47.0,0,> 2 Years,Yes,37488.0,26.0,222,0
7660939,Male,23,1,29.0,1,< 1 Year,No,43912.0,152.0,291,0
4657263,Male,22,1,30.0,1,< 1 Year,No,27863.0,152.0,59,0
7118347,Male,52,1,28.0,0,1-2 Year,Yes,39170.0,124.0,24,0
11402967,Female,59,1,28.0,0,1-2 Year,Yes,52341.0,26.0,193,0
11003552,Female,26,1,47.0,1,< 1 Year,No,29207.0,152.0,277,0
839228,Male,41,1,18.0,0,1-2 Year,Yes,2630.0,26.0,101,0
7766556,Male,29,1,18.0,1,< 1 Year,No,29289.0,152.0,194,0
4064550,Male,73,1,28.0,1,1-2 Year,No,48719.0,26.0,189,0
9416661,Female,21,1,46.0,1,< 1 Year,No,31233.0,160.0,158,0
3087383,Male,24,1,35.0,1,< 1 Year,No,33126.0,152.0,181,0
6323534,Male,60,1,28.0,0,1-2 Year,Yes,58982.0,124.0,129,0
1701908,Female,49,1,28.0,0,1-2 Year,Yes,37690.0,26.0,186,0
1637134,Female,58,1,46.0,0,1-2 Year,No,2630.0,26.0,180,0
2830821,Female,41,1,11.0,1,1-2 Year,Yes,2630.0,26.0,216,0
7844893,Female,32,1,50.0,1,< 1 Year,No,43987.0,152.0,31,0
7673031,Female,49,1,41.0,0,1-2 Year,Yes,29244.0,152.0,268,0
6719028,Male,40,1,28.0,1,1-2 Year,No,47364.0,124.0,241,0
2487322,Female,25,1,21.0,1,< 1 Year,No,24563.0,152.0,21,0
7386552,Male,49,1,18.0,1,1-2 Year,No,31833.0,26.0,103,0
4780788,Male,52,1,28.0,0,1-2 Year,Yes,71595.0,122.0,105,1
3331904,Female,42,1,28.0,0,1-2 Year,Yes,39732.0,124.0,268,1
26637,Female,41,1,28.0,0,1-2 Year,Yes,35592.0,124.0,249,0
6180633,Male,21,1,9.0,0,< 1 Year,Yes,2630.0,152.0,119,0
590789,Female,22,1,46.0,1,< 1 Year,No,24409.0,152.0,122,0
11362219,Male,22,1,46.0,1,< 1 Year,No,28196.0,152.0,290,0
8005991,Male,48,1,28.0,0,> 2 Years,Yes,50474.0,26.0,242,0
9498624,Male,26,1,13.0,1,< 1 Year,No,28456.0,26.0,210,0
4198511,Male,35,1,11.0,1,1-2 Year,No,33815.0,152.0,140,0
7574357,Male,46,1,28.0,0,1-2 Year,Yes,42170.0,124.0,236,1
2819485,Male,24,1,41.0,0,< 1 Year,Yes,31404.0,152.0,282,0
1686451,Female,45,1,28.0,0,1-2 Year,Yes,43946.0,26.0,195,0
6478372,Male,23,1,6.0,0,< 1 Year,Yes,27789.0,152.0,65,1
10850882,Female,48,1,20.0,1,1-2 Year,No,2630.0,122.0,272,0
10335180,Female,41,1,28.0,0,1-2 Year,Yes,41180.0,26.0,158,1
6236833,Male,27,1,14.0,1,1-2 Year,No,30117.0,124.0,74,0
4923044,Male,45,1,33.0,1,1-2 Year,No,31561.0,124.0,107,0
7977993,Female,24,1,36.0,1,< 1 Year,No,28390.0,152.0,56,0
411334,Male,65,1,28.0,0,> 2 Years,Yes,46475.0,25.0,28,0
2185982,Male,62,1,15.0,0,1-2 Year,Yes,2630.0,152.0,283,0
4991714,Male,52,1,28.0,0,1-2 Year,Yes,37748.0,26.0,84,0
163120,Male,26,1,28.0,1,< 1 Year,No,37118.0,152.0,168,0
9684221,Male,44,1,8.0,0,1-2 Year,Yes,50819.0,124.0,103,0
7246656,Female,55,1,8.0,0,1-2 Year,Yes,61617.0,26.0,146,0
4533928,Female,31,1,41.0,0,< 1 Year,Yes,35149.0,124.0,80,1
8081077,Male,50,1,18.0,1,1-2 Year,No,2630.0,124.0,119,0
3371975,Female,49,1,28.0,0,1-2 Year,Yes,2630.0,26.0,261,0
7629073,Female,43,1,29.0,0,1-2 Year,Yes,36672.0,124.0,20,1
5859411,Female,24,1,14.0,1,< 1 Year,No,36170.0,152.0,158,0
4368927,Female,39,1,43.0,1,1-2 Year,No,27195.0,152.0,111,0
9204999,Male,60,1,46.0,0,1-2 Year,Yes,2630.0,154.0,147,1
4877628,Male,50,1,4.0,1,1-2 Year,No,32165.0,124.0,225,0
3707015,Male,20,1,6.0,0,< 1 Year,Yes,27226.0,160.0,256,0
7545727,Female,21,1,2.0,1,< 1 Year,No,28698.0,152.0,272,0
11439152,Male,44,1,30.0,0,1-2 Year,No,2630.0,154.0,129,0
3054456,Male,32,1,30.0,0,< 1 Year,Yes,28251.0,152.0,131,1
3616982,Female,36,1,28.0,0,1-2 Year,Yes,44951.0,122.0,168,0
8356349,Male,37,1,28.0,0,1-2 Year,Yes,43957.0,124.0,41,0
7171896,Male,55,1,28.0,1,1-2 Year,Yes,2630.0,157.0,249,0
831085,Male,54,1,45.0,0,1-2 Year,No,2630.0,26.0,170,0
10899985,Male,42,1,28.0,0,1-2 Year,Yes,37373.0,124.0,278,0
6410176,Female,60,1,18.0,0,1-2 Year,Yes,2630.0,26.0,131,0
4029124,Female,22,1,11.0,1,< 1 Year,No,28412.0,152.0,217,0
11081976,Female,46,1,8.0,0,1-2 Year,Yes,45984.0,124.0,114,1
10779725,Male,27,1,11.0,1,< 1 Year,No,46937.0,152.0,101,0
6511536,Female,25,1,11.0,0,< 1 Year,Yes,23260.0,152.0,241,1
2313325,Male,38,1,46.0,1,1-2 Year,Yes,32175.0,26.0,42,0
3222287,Male,36,1,28.0,1,1-2 Year,No,43002.0,26.0,73,0
2093295,Male,63,1,28.0,0,1-2 Year,Yes,55764.0,26.0,104,0
5745211,Male,58,1,28.0,0,1-2 Year,Yes,27121.0,163.0,298,0
6218564,Male,24,1,14.0,1,< 1 Year,No,38378.0,152.0,199,0
132495,Female,24,1,17.0,1,< 1 Year,No,47380.0,152.0,98,0
8850855,Male,26,1,15.0,0,< 1 Year,No,27265.0,152.0,144,0
8987278,Male,63,1,30.0,0,1-2 Year,Yes,2630.0,163.0,160,0
3729337,Male,45,1,28.0,0,> 2 Years,Yes,33148.0,124.0,59,1
6589580,Male,70,1,27.0,0,1-2 Year,Yes,29997.0,26.0,27,0
8411634,Male,69,1,28.0,1,1-2 Year,No,2630.0,25.0,191,0
6164335,Female,42,1,28.0,0,1-2 Year,Yes,48707.0,23.0,92,0
10958628,Male,55,1,28.0,0,1-2 Year,Yes,38987.0,124.0,198,1
10808984,Male,37,1,28.0,0,1-2 Year,Yes,46692.0,26.0,56,0
6928399,Male,62,1,14.0,0,1-2 Year,Yes,2630.0,3.0,197,0
5223577,Male,24,1,28.0,1,< 1 Year,No,34339.0,152.0,262,0
470398,Female,31,1,13.0,0,1-2 Year,Yes,2630.0,156.0,214,1
2949492,Male,20,1,28.0,0,1-2 Year,Yes,29680.0,157.0,262,0
5777054,Male,52,1,46.0,0,1-2 Year,Yes,33270.0,124.0,60,0
3103521,Female,22,1,47.0,1,< 1 Year,No,32065.0,152.0,215,0
7635853,Male,35,1,28.0,0,1-2 Year,No,2630.0,124.0,207,0
6485244,Female,26,1,28.0,1,< 1 Year,No,32243.0,152.0,166,0
7965209,Female,26,1,3.0,1,< 1 Year,No,51558.0,152.0,268,0
5790066,Female,46,1,15.0,0,1-2 Year,Yes,34404.0,26.0,108,1
7865405,Female,23,1,41.0,1,< 1 Year,No,28705.0,152.0,105,0
2388027,Male,52,1,47.0,0,1-2 Year,Yes,36805.0,124.0,73,0
7195569,Male,22,1,15.0,0,< 1 Year,No,39475.0,152.0,274,0
5535685,Male,27,1,36.0,1,< 1 Year,No,45476.0,151.0,116,0
3094269,Female,20,1,3.0,0,< 1 Year,Yes,32886.0,160.0,245,0
5485453,Female,30,1,37.0,0,< 1 Year,Yes,32604.0,152.0,115,0
8160274,Female,27,1,36.0,0,< 1 Year,No,2630.0,152.0,165,0
9003404,Male,39,1,46.0,0,1-2 Year,No,26690.0,21.0,74,0
2413173,Male,24,1,3.0,0,1-2 Year,Yes,30022.0,156.0,185,0
9597687,Male,52,1,15.0,0,1-2 Year,Yes,2630.0,14.0,163,0
5366789,Male,47,1,41.0,0,1-2 Year,Yes,45290.0,26.0,132,0
4311828,Male,46,1,28.0,0,1-2 Year,Yes,29468.0,26.0,222,0
4571760,Male,32,1,11.0,1,1-2 Year,No,35444.0,124.0,199,0
1828550,Female,48,1,11.0,0,1-2 Year,Yes,2630.0,26.0,66,0
6570812,Female,33,1,0.0,1,1-2 Year,No,2630.0,26.0,118,0
4207256,Female,47,1,15.0,0,1-2 Year,No,25416.0,124.0,142,0
297042,Female,38,1,28.0,0,1-2 Year,Yes,36397.0,26.0,288,0
9761262,Female,28,1,10.0,1,< 1 Year,No,29772.0,152.0,194,0
7101365,Male,27,1,23.0,1,< 1 Year,No,24331.0,152.0,158,0
3229297,Male,34,1,3.0,1,< 1 Year,No,2630.0,1.0,83,0
10661868,Male,24,1,50.0,1,< 1 Year,No,39573.0,152.0,142,0
5469839,Male,70,1,24.0,1,1-2 Year,No,34391.0,122.0,96,0
7154393,Female,44,1,28.0,0,1-2 Year,Yes,27155.0,26.0,288,1
2737922,Female,65,1,15.0,1,1-2 Year,No,41921.0,14.0,208,0
8830104,Female,20,1,49.0,0,< 1 Year,Yes,28084.0,160.0,288,0
6580301,Female,30,1,28.0,0,1-2 Year,Yes,62625.0,26.0,158,1
2662983,Female,33,1,6.0,0,< 1 Year,Yes,24535.0,152.0,103,1
6679993,Female,65,1,28.0,0,> 2 Years,Yes,49316.0,124.0,27,0
7687699,Female,23,1,41.0,1,< 1 Year,No,22686.0,152.0,166,0
761753,Female,41,1,41.0,0,1-2 Year,Yes,43466.0,26.0,202,1
4221147,Female,32,1,28.0,1,< 1 Year,No,29998.0,152.0,158,0
2221711,Female,24,1,28.0,1,< 1 Year,No,40771.0,152.0,283,0
4853407,Male,25,1,41.0,1,< 1 Year,No,24894.0,152.0,118,0
3599559,Male,25,1,4.0,1,< 1 Year,No,33243.0,152.0,40,0
9128767,Male,31,1,28.0,1,< 1 Year,No,43449.0,124.0,131,0
6083520,Female,27,1,14.0,1,< 1 Year,No,25229.0,152.0,103,0
11220628,Female,22,1,50.0,1,< 1 Year,No,34209.0,152.0,263,0
3227525,Male,70,1,28.0,1,1-2 Year,No,31410.0,124.0,118,0
5977530,Male,21,1,30.0,1,< 1 Year,No,27534.0,160.0,249,0
4032405,Male,44,1,46.0,0,1-2 Year,Yes,30401.0,26.0,282,0
9890522,Male,52,1,28.0,0,> 2 Years,Yes,62223.0,26.0,114,1
1310410,Male,27,1,37.0,0,< 1 Year,Yes,34221.0,152.0,130,0
3069325,Female,25,1,47.0,0,< 1 Year,No,29291.0,152.0,57,0
11409037,Male,24,1,41.0,0,< 1 Year,Yes,43764.0,124.0,83,0
9317164,Female,39,1,15.0,0,1-2 Year,Yes,49189.0,26.0,198,0
8715600,Male,72,1,46.0,1,1-2 Year,No,45456.0,11.0,111,0
2693227,Male,22,1,29.0,1,< 1 Year,No,32347.0,152.0,211,0
9701173,Male,48,1,28.0,0,1-2 Year,Yes,36591.0,124.0,212,1
11052991,Male,34,1,17.0,0,1-2 Year,Yes,2630.0,156.0,139,0
11042247,Male,40,1,28.0,0,1-2 Year,Yes,44774.0,26.0,188,1
4081595,Male,21,1,13.0,0,1-2 Year,Yes,31851.0,26.0,256,0
4253629,Male,68,1,50.0,1,1-2 Year,No,34913.0,124.0,91,0
5280863,Male,35,1,10.0,0,1-2 Year,Yes,2630.0,26.0,273,0
5406462,Female,27,1,28.0,0,< 1 Year,Yes,51974.0,152.0,263,1
2559579,Female,26,1,15.0,1,< 1 Year,No,32823.0,152.0,191,0
600789,Male,47,1,8.0,1,1-2 Year,No,2630.0,7.0,296,0
9557908,Male,66,1,28.0,1,1-2 Year,No,48503.0,26.0,186,0
8088498,Male,64,0,28.0,0,1-2 Year,Yes,30174.0,124.0,201,0
4018538,Female,25,1,49.0,0,< 1 Year,Yes,34163.0,152.0,253,0
1237557,Male,47,1,8.0,0,1-2 Year,Yes,35195.0,124.0,96,0
10244114,Female,49,1,8.0,0,1-2 Year,Yes,50661.0,122.0,150,0
4044653,Female,24,1,11.0,1,< 1 Year,No,24133.0,152.0,197,0
10443144,Female,25,1,27.0,1,< 1 Year,No,2630.0,152.0,150,0
10472844,Female,24,1,29.0,1,< 1 Year,No,2630.0,160.0,247,0
6201759,Female,40,1,28.0,0,1-2 Year,Yes,29192.0,23.0,65,0
6031892,Female,27,1,14.0,1,< 1 Year,No,37146.0,152.0,241,0
6965273,Female,29,1,15.0,1,< 1 Year,No,29330.0,152.0,191,0
9880618,Female,80,1,28.0,0,> 2 Years,Yes,49418.0,3.0,223,1
10518606,Male,67,1,28.0,1,1-2 Year,No,43972.0,152.0,131,0
1421924,Female,46,1,3.0,0,1-2 Year,Yes,2630.0,157.0,212,1
5168251,Female,28,1,33.0,0,< 1 Year,Yes,29148.0,152.0,68,0
3026578,Male,67,1,41.0,0,1-2 Year,Yes,47293.0,12.0,79,0
5240081,Female,80,1,28.0,0,1-2 Year,Yes,28516.0,26.0,74,0
4883275,Female,52,1,28.0,1,1-2 Year,No,42933.0,122.0,96,0
9837931,Male,45,1,28.0,0,1-2 Year,Yes,44908.0,26.0,293,0
8651599,Female,21,1,8.0,1,< 1 Year,No,30679.0,160.0,58,0
3974158,Male,44,1,28.0,1,1-2 Year,No,38100.0,26.0,131,0
563456,Female,46,1,40.0,0,1-2 Year,Yes,31885.0,124.0,268,0
5151729,Male,25,1,27.0,1,< 1 Year,No,27911.0,152.0,116,0
2964999,Female,51,1,28.0,0,1-2 Year,Yes,53540.0,124.0,160,0
10537044,Female,52,1,28.0,0,1-2 Year,Yes,57326.0,26.0,242,0
5490123,Female,24,1,21.0,1,< 1 Year,No,28137.0,152.0,27,0
4814075,Male,50,1,28.0,0,1-2 Year,Yes,42611.0,147.0,187,0
5487323,Female,70,1,28.0,0,> 2 Years,Yes,2630.0,158.0,228,0
3788280,Female,27,1,28.0,0,< 1 Year,Yes,38452.0,152.0,128,0
11218410,Male,23,1,28.0,0,< 1 Year,Yes,54648.0,152.0,165,0
5683493,Female,24,1,50.0,1,< 1 Year,No,28345.0,152.0,27,0
3509924,Female,24,1,43.0,0,< 1 Year,Yes,40357.0,154.0,24,0
8082424,Female,46,1,28.0,1,1-2 Year,No,39008.0,124.0,94,0
8506304,Female,24,1,29.0,1,< 1 Year,No,35417.0,152.0,242,0
8934052,Male,47,1,41.0,0,1-2 Year,Yes,34198.0,124.0,56,0
6710348,Male,26,1,34.0,1,< 1 Year,No,30916.0,152.0,176,0
9300396,Male,24,1,47.0,1,< 1 Year,No,30076.0,152.0,240,0
7744936,Female,60,1,48.0,0,1-2 Year,Yes,2630.0,122.0,73,0
7208210,Female,67,1,46.0,1,1-2 Year,No,29200.0,30.0,272,0
6641315,Male,52,1,24.0,0,1-2 Year,Yes,2630.0,157.0,275,0
3916395,Female,22,1,30.0,1,< 1 Year,Yes,29081.0,152.0,164,0
4814626,Female,24,1,14.0,0,< 1 Year,Yes,28766.0,152.0,191,1
165825,Female,70,1,28.0,0,1-2 Year,Yes,2630.0,55.0,216,0
1989639,Female,25,1,3.0,1,< 1 Year,No,23061.0,152.0,99,0
